  -1.000000    1.000000 -1.000000 1.000000 -1.000000 1.000000 -1.000000
  -0.990000    1.000000 -0.990000 0.970150 -0.940747 0.902233 -0.855180
  -0.980000    1.000000 -0.980000 0.940600 -0.882980 0.808861 -0.720446
  -0.970000    1.000000 -0.970000 0.911350 -0.826682 0.719781 -0.595392
  -0.960000    1.000000 -0.960000 0.882400 -0.771840 0.634891 -0.479620
  -0.950000    1.000000 -0.950000 0.853750 -0.718437 0.554090 -0.372744
  -0.940000    1.000000 -0.940000 0.825400 -0.666460 0.477277 -0.274384
  -0.930000    1.000000 -0.930000 0.797350 -0.615893 0.404353 -0.184172
  -0.920000    1.000000 -0.920000 0.769600 -0.566720 0.335219 -0.101747
  -0.910000    1.000000 -0.910000 0.742150 -0.518928 0.269780 -0.026757
  -0.900000    1.000000 -0.900000 0.715000 -0.472500 0.207938 0.041141
  -0.890000    1.000000 -0.890000 0.688150 -0.427423 0.149598 0.102282
  -0.880000    1.000000 -0.880000 0.661600 -0.383680 0.094667 0.156991
  -0.870000    1.000000 -0.870000 0.635350 -0.341257 0.043052 0.205586
  -0.860000    1.000000 -0.860000 0.609400 -0.300140 -0.005339 0.248377
  -0.850000    1.000000 -0.850000 0.583750 -0.260313 -0.050598 0.285664
  -0.840000    1.000000 -0.840000 0.558400 -0.221760 -0.092813 0.317741
  -0.830000    1.000000 -0.830000 0.533350 -0.184467 -0.132073 0.344892
  -0.820000    1.000000 -0.820000 0.508600 -0.148420 -0.168467 0.367394
  -0.810000    1.000000 -0.810000 0.484150 -0.113603 -0.202081 0.385516
  -0.800000    1.000000 -0.800000 0.460000 -0.080000 -0.233000 0.399520
  -0.790000    1.000000 -0.790000 0.436150 -0.047598 -0.261309 0.409659
  -0.780000    1.000000 -0.780000 0.412600 -0.016380 -0.287091 0.416180
  -0.770000    1.000000 -0.770000 0.389350 0.013667 -0.310429 0.419321
  -0.760000    1.000000 -0.760000 0.366400 0.042560 -0.331405 0.419314
  -0.750000    1.000000 -0.750000 0.343750 0.070312 -0.350098 0.416382
  -0.740000    1.000000 -0.740000 0.321400 0.096940 -0.366587 0.410742
  -0.730000    1.000000 -0.730000 0.299350 0.122458 -0.380952 0.402605
  -0.720000    1.000000 -0.720000 0.277600 0.146880 -0.393269 0.392172
  -0.710000    1.000000 -0.710000 0.256150 0.170223 -0.403614 0.379641
  -0.700000    1.000000 -0.700000 0.235000 0.192500 -0.412062 0.365199
  -0.690000    1.000000 -0.690000 0.214150 0.213728 -0.418688 0.349029
  -0.680000    1.000000 -0.680000 0.193600 0.233920 -0.423565 0.331307
  -0.670000    1.000000 -0.670000 0.173350 0.253092 -0.426763 0.312203
